Feature,Pearson,Linear Regression,RFE,Lasso,Ridge,Elastic Net,Total
EOGReadingGr5_CACR_SWD,True,False,True,False,False,False,2
EOGReadingGr5_CACR_AmericanIndian,False,True,True,False,False,False,2
EOGReadingGr3_CACR_Hispanic,True,False,False,True,False,False,2
EOGReadingGr3_CACR_EDS,True,False,False,True,False,False,2
EOGReadingGr3-8_CACR_Black,False,False,False,True,False,True,2
EOGReadingGr3-8_CACR_AmericanIndian,False,False,False,True,False,True,2
EOGMathGr5_CACR_TwoorMoreRaces,False,False,False,True,False,True,2
EOGMathGr5_CACR_Hispanic,False,False,False,True,False,True,2
EOGMathGr5_CACR_Black,False,False,False,True,False,True,2
EOGMathGr5_CACR_Asian,False,False,False,True,False,True,2
EOGMathGr5_CACR_AmericanIndian,False,False,False,True,False,True,2
EOGMathGr4_GLP_LEP,False,False,False,True,False,True,2
EOGMathGr4_CACR_TwoorMoreRaces,False,False,False,True,False,True,2
EOGMathGr4_CACR_LEP,False,False,False,True,False,True,2
EOGMathGr4_CACR_Black,False,False,False,True,False,True,2
EOGMathGr4_CACR_Asian,False,False,False,True,False,True,2
EOGMathGr4_CACR_AmericanIndian,False,False,False,True,False,True,2
EOGMathGr3_CACR_TwoorMoreRaces,False,False,False,True,False,True,2
EOGMathGr3_CACR_LEP,False,False,False,True,False,True,2
EOGMathGr3_CACR_Black,False,False,False,True,False,True,2
EOGMathGr3_CACR_Asian,False,False,False,True,False,True,2
EOGMathGr3-8_GLP_LEP,False,False,False,True,False,True,2
EOGMathGr3-8_CACR_Asian,False,False,False,True,False,True,2
EOGMathGr3-8_CACR_AmericanIndian,False,False,False,True,False,True,2
EOGGr5_CACR_AmericanIndian,False,False,False,True,False,True,2
EOGGr4_GLP_LEP,False,False,False,True,False,True,2
EOGGr4_CACR_TwoorMoreRaces,False,False,False,True,False,True,2
EOGGr4_CACR_Black,False,False,False,True,False,True,2
EOGGr4_CACR_Asian,False,False,False,True,False,True,2
EOGGr4_CACR_AmericanIndian,False,False,False,True,False,True,2
EOGGr3_CACR_Asian,False,False,False,True,False,True,2
EOG/EOCSubjects_CACR_Black,False,False,False,True,False,True,2
EOG/EOCSubjects_CACR_AmericanIndian,False,False,False,True,False,True,2
EOCSubjects_CACR_TwoorMoreRaces,False,False,False,True,False,True,2
EOCSubjects_CACR_SWD,False,False,False,True,False,True,2
EOCSubjects_CACR_Hispanic,False,False,False,True,False,True,2
EOCSubjects_CACR_Black,False,False,False,True,False,True,2
EOCSubjects_CACR_Asian,False,False,False,True,False,True,2
EOCSubjects_CACR_AmericanIndian,False,False,False,True,False,True,2
EOCSubjects_CACR_AIG,False,False,False,True,False,True,2
EOCMathI_CACR_TwoorMoreRaces,False,False,False,True,False,True,2
EOCMathI_CACR_SWD,False,False,False,True,False,True,2
EOCMathI_CACR_Male,False,False,False,True,False,True,2
EOCMathI_CACR_LEP,False,False,False,True,False,True,2
EOCMathI_CACR_Hispanic,False,False,False,True,False,True,2
EOCMathI_CACR_EDS,False,False,False,True,False,True,2
EOCMathI_CACR_Asian,False,False,False,True,False,True,2
EOCMathI_CACR_AIG,False,False,False,True,False,True,2
Domestic production activities deduction Ct LT25K,False,False,False,True,False,True,2
Domestic production activities deduction Ct 75KLT100K,False,False,False,True,False,True,2
Domestic production activities deduction Ct 25KLT50K,False,False,False,True,False,True,2
Domestic production activities deduction Amt LT25K,False,False,False,True,False,True,2
Domestic production activities deduction Amt 75KLT100K,False,False,False,True,False,True,2
Domestic production activities deduction Amt 50KLT75K,False,False,False,True,False,True,2
Domestic production activities deduction Amt 25KLT50K,False,False,False,True,False,True,2
Crime_Rate_Violent_Rate,False,False,False,True,False,True,2
Crime_Rate_Robbery_Rate,False,False,False,True,False,True,2
Crime_Rate_MVT_Rate,False,False,False,True,False,True,2
Attrtion_Reason_OtherReasons,False,False,False,True,False,True,2
Alternative minimum tax Ct 75KLT100K,False,False,False,True,False,True,2
Alternative minimum tax Amt 75KLT100K,False,False,False,True,False,True,2
Add child tax credit Amt 75KLT100K,False,False,False,True,False,True,2
Add child tax credit Amt 25KLT50K,False,False,False,True,False,True,2
Add Medicare tax Amt 100KLT200K,False,False,False,True,False,True,2
(VITA) prepared returns Ct 50KLT75K,False,False,False,True,False,True,2
(VITA) prepared returns Ct 25KLT50K,False,False,False,True,False,True,2
(TCE) prepared returns Ct 75KLT100K,False,False,False,True,False,True,2
(TCE) prepared returns Ct 25KLT50K,False,False,False,True,False,True,2
lea_short_susp_per_c_num,True,False,False,False,False,False,1
Science Score,True,False,False,False,False,False,1
Reading  SPG Score,True,False,False,False,False,False,1
Number of farm returns LT25K,True,False,False,False,False,False,1
Number of farm returns GE200K,False,False,True,False,False,False,1
Number of farm returns 75KLT100K,True,False,False,False,False,False,1
Number of farm returns 50KLT75K,True,False,False,False,False,False,1
Number of farm returns 25KLT50K,True,False,False,False,False,False,1
Number of farm returns 100KLT200K,True,False,False,False,False,False,1
Math I_Size,True,False,False,False,False,False,1
EVAAS Growth Score,True,False,False,False,False,False,1
EOGSubjects_CACR_SWD,True,False,False,False,False,False,1
EOGSubjects_CACR_Black,True,False,False,False,False,False,1
EOGSubjects_CACR_Asian,True,False,False,False,False,False,1
EOGScienceGr5_CACR_SWD,True,False,False,False,False,False,1
EOGScienceGr5_CACR_AmericanIndian,False,False,True,False,False,False,1
