VIF Factor,ABSVIFFactor,features,indexes
19.115316321251512,19.115316321251512,EOGGr5_CACR_White,128
19.19766094008146,19.19766094008146,EOGMathGr5_CACR_EDS,168
19.46362952536863,19.46362952536863,EOGMathGr5_CACR_White,173
19.5468343489637,19.5468343489637,EOG/EOCSubjects_CACR_TwoorMoreRaces,92
19.576386188138827,19.576386188138827,EOGMathGr3_CACR_EDS,145
19.741920887585554,19.741920887585554,EOGMathGr4_CACR_EDS,156
20.44445078890409,20.44445078890409,EOGReadingGr3-8_CACR_SWD,180
20.665170813431295,20.665170813431295,lateral_teach_pct,344
20.73724708015116,20.73724708015116,SPG Grade_D,302
21.334540864622298,21.334540864622298,EOGSubjects_CACR_AmericanIndian,235
21.73008062436057,21.73008062436057,SPG Grade_C,301
21.854389005943172,21.854389005943172,Math SPG Grade_D,258
22.06373453253822,22.06373453253822,EOG/EOCSubjects_CACR_Asian,86
22.126650614107476,22.126650614107476,Meets Expected Growth_TCHR_Student Growth_Pct,262
22.42235804979094,22.42235804979094,EOGSubjects_CACR_Asian,236
22.569406288394354,22.569406288394354,Math SPG Grade_C,257
22.81277440817911,22.81277440817911,EOGScienceGr5_CACR_EDS,227
22.91475480204827,22.91475480204827,EOGMathGr3-8_CACR_White,138
22.99728589674129,22.99728589674129,EOGSubjects_CACR_Hispanic,238
23.012784261433318,23.012784261433318,flicensed_teach_pct,342
23.416355900586534,23.416355900586534,lea_wap_per_classroom,381
24.223423189948818,24.223423189948818,Crime_Rate_Robbery_Rate,37
24.573850423233267,24.573850423233267,Add child tax credit Amt 75KLT100K,22
24.64811978115913,24.64811978115913,EOG/EOCSubjects_CACR_AmericanIndian,85
25.05765582629798,25.05765582629798,Reading SPG Grade_D,288
26.125828334532155,26.125828334532155,EOGSubjects_CACR_TwoorMoreRaces,241
27.462990106426243,27.462990106426243,Earned income credit Amt 50KLT75K,246
28.070544902625112,28.070544902625112,MathGr3-8_pTarget_PctMet,260
28.530692907456306,28.530692907456306,Crime_Rate_Violent_Rate,38
28.70060119676521,28.70060119676521,lea_wap_num,380
29.16985026522306,29.16985026522306,st_expelled_per_c_num,391
29.40494635010222,29.40494635010222,Reading SPG Grade_C,287
29.70015360699428,29.70015360699428,"calendar_type_txt_Magnet School, Traditional Calendar",324
30.465091319361775,30.465091319361775,EOGReadingGr3-8_CACR_EDS,177
30.76665338366077,30.76665338366077,st_emer_prov_teach_pct,390
30.778479016264267,30.778479016264267,Distinguished_TCHR_Standard 4_Pct,47
32.58319509824312,32.58319509824312,EOGGr3_CACR_All,96
33.27785907457903,33.27785907457903,(VITA) prepared returns Ct 100KLT200K,3
35.15019256349839,35.15019256349839,ReadingGr3-8_pTarget_PctMet,290
35.92271136435609,35.92271136435609,EOGSubjects_CACR_SWD,240
36.455962429393594,36.455962429393594,Science Score,307
37.4187779931393,37.4187779931393,esea_attendance_Met,337
38.52045143089889,38.52045143089889,category_cd_E,330
40.515669406420486,40.515669406420486,SPG Score,305
40.6761739178382,40.6761739178382,EOG/EOCSubjects_CACR_All,84
41.017481328770735,41.017481328770735,EOGMathGr3-8_CACR_EDS,133
42.95102580069101,42.95102580069101,st_short_susp_per_c_num,396
44.880103577085336,44.880103577085336,Distinguished_TCHR_Standard 1_Pct,44
46.30297473845577,46.30297473845577,EOGSubjects_CACR_AIG,234
47.17883548859802,47.17883548859802,EOGGr4_CACR_All,107
48.04150638901013,48.04150638901013,EOGGr5_CACR_All,120
49.39419753555762,49.39419753555762,st_flicensed_teach_pct,392
50.900222081607566,50.900222081607566,tchyrs_4thru10_pct,403
51.59379228950247,51.59379228950247,category_cd_T,333
52.921005973270304,52.921005973270304,Developing_TCHR_Standard 5_Pct,43
60.29413808152604,60.29413808152604,st_long_susp_per_c_num,394
62.353775929819236,62.353775929819236,Reading  SPG Score,285
64.82429279724946,64.82429279724946,Accomplished_TCHR_Standard 1_Pct,15
66.81148553015284,66.81148553015284,st_nbpts_num,395
72.77015542321375,72.77015542321375,Developing_TCHR_Standard 2_Pct,40
73.0051619019063,73.0051619019063,st_tchyrs_0thru3_pct,397
78.3306538789495,78.3306538789495,Accomplished_TCHR_Standard 4_Pct,18
82.69168650639585,82.69168650639585,tchyrs_0thru3_pct,401
89.86075944927576,89.86075944927576,Proficient_TCHR_Standard 1_Pct,280
96.70537854707722,96.70537854707722,Proficient_TCHR_Standard 4_Pct,283
99.9667848031703,99.9667848031703,Developing_TCHR_Standard 3_Pct,41
111.14389557249005,111.14389557249005,(TCE) prepared returns Ct 25KLT50K,1
112.80233838634932,112.80233838634932,tchyrs_11plus_pct,402
113.08655679356528,113.08655679356528,Add child tax credit Amt 25KLT50K,21
128.64653340010003,128.64653340010003,(VITA) prepared returns Ct 25KLT50K,4
141.47014173778294,141.47014173778294,st_crime_per_c_num,389
181.55845213027627,181.55845213027627,st_avg_student_num,388
183.6719873552828,183.6719873552828,highqual_class_pct,343
230.92540183697858,230.92540183697858,(VITA) prepared returns Ct 50KLT75K,5
254.6628717530913,254.6628717530913,lea_salary,407
376.68370568160736,376.68370568160736,Number of volunteer prepared returns Tot 50KLT75K,275
459.69802179048395,459.69802179048395,lea_highqual_class_pct,360
515.7960137282261,515.7960137282261,Distinguished_TCHR_Standard 5_Pct,48
665.6513834199595,665.6513834199595,Distinguished_TCHR_Standard 3_Pct,46
843.5913522236472,843.5913522236472,Distinguished_TCHR_Standard 2_Pct,45
1404.3124589290169,1404.3124589290169,Accomplished_TCHR_Standard 5_Pct,19
1809.4991582880593,1809.4991582880593,st_highqual_class_pct,393
1937.0522397549203,1937.0522397549203,Proficient_TCHR_Standard 5_Pct,284
2072.030366411881,2072.030366411881,Accomplished_TCHR_Standard 3_Pct,17
2191.4199535605035,2191.4199535605035,lea_highqual_class_all_pct,357
2201.4865078712023,2201.4865078712023,Accomplished_TCHR_Standard 2_Pct,16
2573.6335723745347,2573.6335723745347,Proficient_TCHR_Standard 2_Pct,281
2751.44918632493,2751.44918632493,Proficient_TCHR_Standard 3_Pct,282
6591.938908316344,6591.938908316344,lea_tchyrs_4thru10_pct,378
14907.548928627148,14907.548928627148,lea_tchyrs_0thru3_pct,376
15863.175253816595,15863.175253816595,st_tchyrs_11plus_pct,398
16566.665150283523,16566.665150283523,st_avg_daily_attend_pct,387
19488.436887292082,19488.436887292082,lea_tchyrs_11plus_pct,377
21242.306322318935,21242.306322318935,10+ Years_LEA_Exp_Pct_Prin,13
43247.241941034576,43247.241941034576,4-10 Years_LEA_Exp_Pct_Prin,14
54694.18829891423,54694.18829891423,0-3 Years_LEA_Exp_Pct_Prin,6
inf,inf,Number of farm returns All,272
inf,inf,Number of farm returns GE200K,273
inf,inf,Number of farm returns LT25K,274
inf,inf,lea_federal_perpupil_num,355
inf,inf,lea_services_expense_pct,371
inf,inf,PacificIslandFemalePct,276
inf,inf,"calendar_type_txt_Regular School, Traditional Calendar plus Year-Round Calendar",327
inf,inf,PacificIslandMalePct,277
inf,inf,"calendar_type_txt_Regular School, Year-Round Calendar",328
inf,inf,PacificIslandPct,278
inf,inf,lea_benefits_expense_pct,350
inf,inf,BlackPct,31
inf,inf,"calendar_type_txt_Regular School, Traditional Calendar",326
inf,inf,Number of farm returns 75KLT100K,271
inf,inf,lea_instruct_equip_exp_pct,362
inf,inf,Number of farm returns 25KLT50K,269
inf,inf,IndianPct,252
inf,inf,lea_local_perpupil_num,363
inf,inf,school_type_txt_Regular School,385
inf,inf,Number of farm returns 100KLT200K,268
