feature_names,weights,absolute_weights
EOGReadingGr3_CACR_Black,0.0011132015285322161,0.0011132015285322161
"calendar_type_txt_Special Education, Traditional Calendar",0.001098377824139437,0.001098377824139437
EOGMathGr4_CACR_TwoorMoreRaces,0.0010961273784634716,0.0010961273784634716
EOGGr3_CACR_Asian,0.0010885213356399731,0.0010885213356399731
EOGMathGr3_CACR_SWD,-0.0010845386700350428,0.0010845386700350428
EOGMathGr4_CACR_Asian,-0.0010833987691669222,0.0010833987691669222
EOGReadingGr4_CACR_Black,0.0010810682948143103,0.0010810682948143103
EOCMathI_CACR_EDS,-0.0010779476101634,0.0010779476101634
EOGMathGr3_CACR_EDS,0.0010710624312907655,0.0010710624312907655
EOGReadingGr5_CACR_EDS,0.0010666833933148203,0.0010666833933148203
lea_instruct_equip_exp_pct,-0.0010444743791165213,0.0010444743791165213
EOGMathGr5_GLP_SWD,-0.0010408082407805893,0.0010408082407805893
SBE District_Sandhills,-0.0010363920068667152,0.0010363920068667152
EOGGr4_CACR_All,-0.0010286649171740328,0.0010286649171740328
EOGReadingGr4_CACR_AmericanIndian,-0.001028651506330192,0.001028651506330192
Developing_TCHR_Standard 2_Pct,-0.0010128266141437563,0.0010128266141437563
EOGScienceGr5&8_GLP_LEP,-0.0010064913133309376,0.0010064913133309376
EOGMathGr3_CACR_Black,0.0009942205849619475,0.0009942205849619475
EOGMathGr5_CACR_LEP,0.0009677906620747232,0.0009677906620747232
SciGr5&8_pTarget_PctMet,0.0009631093073110605,0.0009631093073110605
"calendar_type_txt_Magnet School, Year-Round Calendar",0.0009595459347701602,0.0009595459347701602
EOGGr3_CACR_Black,-0.0009485197749980537,0.0009485197749980537
lea_advance_dgr_pct,-0.0009415962440274244,0.0009415962440274244
Accomplished_TCHR_Standard 1_Pct,0.0009295501430664644,0.0009295501430664644
lea_expelled_per_c_num,0.0009275909549906303,0.0009275909549906303
EOGReadingGr4_CACR_TwoorMoreRaces,-0.0009237246540583836,0.0009237246540583836
EOGScienceGr5&8_CACR_SWD,0.0009144349118712057,0.0009144349118712057
Not Demostrated_TCHR_Standard 5_Pct,0.0009065170518271529,0.0009065170518271529
st_crime_per_c_num,0.0009028494890758448,0.0009028494890758448
EOGReadingGr3_GLP_LEP,-0.0008863815395854565,0.0008863815395854565
Residential energy tax credit Amt LT25K,-0.0008762892041827789,0.0008762892041827789
EOGGr4_CACR_White,0.0008762340781842649,0.0008762340781842649
Math SPG Grade_B,-0.0008648686966224435,0.0008648686966224435
EOGGr3_CACR_AIG,0.0008609661978124291,0.0008609661978124291
EOGReadingGr3-8_CACR_Hispanic,0.0008567151164995419,0.0008567151164995419
EOGGr5_CACR_AIG,0.0008550397602624053,0.0008550397602624053
(TCE) prepared returns Ct 25KLT50K,-0.0008433312106963776,0.0008433312106963776
EOGReadingGr3_CACR_SWD,-0.000841020034056288,0.000841020034056288
EOGMathGr5_CACR_SWD,0.0008405793762256747,0.0008405793762256747
Math I_Size,0.0007984174777367573,0.0007984174777367573
EOGReadingGr5_GLP_Hispanic,-0.000767454972295461,0.000767454972295461
EOGMathGr4_CACR_White,-0.0007647500525792151,0.0007647500525792151
avg_daily_attend_pct,-0.0007483697194725701,0.0007483697194725701
EOGReadingGr3_CACR_TwoorMoreRaces,0.0007421713859857972,0.0007421713859857972
