County,FIPS_Code,County_Seat,Created,Origin,Etymoloty,Population_2017,Area,Map,_1yr_tchr_trnovr_pct,szip_ad
Vance County,181,Henderson,1881,"Franklin County, Granville County, and Warren County","Zebulon Baird Vance (1830–1894), a Confederate military officer in the American Civil War, twice governor of North Carolina, and United States Senator","44,420",270 sq mi(699 km2),,0.23399999999999999,27537.058823529413
Wake County,183,Raleigh,1771,"Cumberland County, Johnston County, and Orange County","Margaret Wake, the wife of British colonial governor William Tryon","1,023,811","857 sq mi(2,220 km2)",,0.12071764705882358,27572.8125
Warren County,185,Warrenton,1779,Bute County,"Joseph Warren (1741–1775), a Patriot and volunteer private who was mortally wounded at the Battle of Bunker Hill","20,190","444 sq mi(1,150 km2)",,0.28075,27581.0
Washington County,187,Plymouth,1799,Tyrrell County,"George Washington (1732–1799), the 1st President of the United States","12,331","424 sq mi(1,098 km2)",,0.28600000000000003,27950.0
Watauga County,189,Boone,1849,"Ashe County, Caldwell County, Wilkes County, and Yancey County","The Watauga River, which came from an Indian word meaning """"beautiful water""""","53,421",313 sq mi(811 km2),,0.11377777777777778,28638.8
Wayne County,191,Goldsboro,1779,Dobbs County,"Anthony Wayne (1745–1796), a general in the American Revolutionary War","124,496","557 sq mi(1,443 km2)",,0.12309375,27773.9375
Wilkes County,193,Wilkesboro,1777,Surry County,"John Wilkes (1725–1797), an English radical, journalist and politician","68,525","760 sq mi(1,968 km2)",,0.10863636363636364,28659.954545454544
Wilson County,195,Wilson,1855,"Edgecombe County, Johnston County, Nash County, and Wayne County","Louis D. Wilson, a state legislator from Edgecombe County who died of fever at Veracruz during the Mexican–American War","81,379",374 sq mi(969 km2),,0.16592,27877.846153846152
Yadkin County,197,Yadkinville,1850,Surry County,The Yadkin River,"37,825",337 sq mi(873 km2),,0.06621428571428571,27143.214285714286
Yancey County,199,Burnsville,1833,Buncombe County and Burke County,"Bartlett Yancey (1785–1828), a United States Congressman, Speaker of the North Carolina Senate, and early advocate for the North Carolina Public School System","17,605",313 sq mi(811 km2),,0.08111111111111112,28714.0
